image,ground_truth_tags,predicted_tags,correct_tags,false_positives,false_negatives,num_false_positives,num_false_negatives,precision,recall,f1_score
test1,":o, arm at side, arm support, back, bare legs, bare shoulders, barefoot, between legs, black dress, black footwear, black ribbon, black sailor collar, black shirt, black skirt, black socks, black vest, blonde hair, blue skirt, blush, blush stickers, buttons, clone, collarbone, collared shirt, dress, eyelashes, feet, flat chest, flipped hair, frilled skirt, frills, from behind, hand between legs, hand on own chest, hand up, high collar, holding, indoors, knee up, legs, long hair, long legs, long sleeves, looking at viewer, looking back, looking to the side, mary janes, multiple girls, multiple persona, neck ribbon, no socks, open mouth, oshino shinobu, parted lips, petite, pleated skirt, pointy ears, railing, red ribbon, ribbon, sailor collar, school uniform, serafuku, shadow, shiny skin, shirt, shirt tucked in, shoes, short sleeves, sidelocks, sitting, sitting on stairs, skirt, sleeveless, socks, stairs, standing, straight hair, strap slip, swept bangs, toes, v arms, very long hair, vest, white shirt, yellow eyes","1girl, age progression, barefoot, black dress, blonde hair, blush stickers, book, clone, doughnut, dress, food, holding, legs, long hair, long legs, looking at viewer, multiple girls, multiple persona, multiple views, oshino shinobu, pointy ears, school uniform, shoes, sitting, sitting on stairs, smile, stairs, very long hair, yellow eyes","barefoot, black dress, blonde hair, blush stickers, clone, dress, holding, legs, long hair, long legs, looking at viewer, multiple girls, multiple persona, oshino shinobu, pointy ears, school uniform, shoes, sitting, sitting on stairs, stairs, very long hair, yellow eyes","1girl, age progression, book, doughnut, food, multiple views, smile",":o, arm at side, arm support, back, bare legs, bare shoulders, between legs, black footwear, black ribbon, black sailor collar, black shirt, black skirt, black socks, black vest, blue skirt, blush, buttons, collarbone, collared shirt, eyelashes, feet, flat chest, flipped hair, frilled skirt, frills, from behind, hand between legs, hand on own chest, hand up, high collar, indoors, knee up, long sleeves, looking back, looking to the side, mary janes, neck ribbon, no socks, open mouth, parted lips, petite, pleated skirt, railing, red ribbon, ribbon, sailor collar, serafuku, shadow, shiny skin, shirt, shirt tucked in, short sleeves, sidelocks, skirt, sleeveless, socks, standing, straight hair, strap slip, swept bangs, toes, v arms, vest, white shirt",7,64,0.7586206896551724,0.2558139534883721,0.3826086956521739
GdjyZ8t,"1boy, 1girl, araragi koyomi, arms at sides, bare arms, bare legs, black hair, blonde hair, blush, blush stickers, brown pants, bush, chain, city, closed mouth, dress, flipped hair, from side, full body, grey pants, hair flaps, halter dress, halterneck, hood, hood down, hooded jacket, long hair, long legs, looking at another, open mouth, oshino shinobu, outdoors, pants, pointy ears, profile, red bow, road, road sign, sandals, short hair, short sleeves, sleeveless, standing, street, sundress, surprised, tree, waist bow, white dress, white footwear, white jacket, wide shot, yellow eyes","1boy, 1girl, araragi koyomi, black hair, blonde hair, city, crosswalk, dress, long hair, long legs, oshino shinobu, road, short hair, street, tree, vanishing point, yellow eyes","1boy, 1girl, araragi koyomi, black hair, blonde hair, city, dress, long hair, long legs, oshino shinobu, road, short hair, street, tree, yellow eyes","crosswalk, vanishing point","arms at sides, bare arms, bare legs, blush, blush stickers, brown pants, bush, chain, closed mouth, flipped hair, from side, full body, grey pants, hair flaps, halter dress, halterneck, hood, hood down, hooded jacket, looking at another, open mouth, outdoors, pants, pointy ears, profile, red bow, road sign, sandals, short sleeves, sleeveless, standing, sundress, surprised, waist bow, white dress, white footwear, white jacket, wide shot",2,38,0.8823529411764706,0.2830188679245283,0.4285714285714286
test4,"1boy, 1girl, ahoge, araragi koyomi, back, black hair, blonde hair, blue male underwear, blush stickers, chair, crossed arms, desk, dimples of venus, dress, facing away, flipped hair, footwear bow, from behind, full body, indian style, indoors, knees together feet apart, letterboxed, long hair, looking at another, male underwear, on chair, oshino shinobu, pink skirt, sandals, school desk, shade, shadow, short hair, sitting, sitting backwards, skirt, sleeveless, sundress, topless, topless male, tree, white dress, white footwear, wide shot, yellow eyes","1boy, 1girl, ahoge, araragi koyomi, black hair, blonde hair, brother and sister, from behind, indian style, letterboxed, long hair, oshino shinobu, shadow, short hair, shorts, sitting, skirt, topless male, white skirt","1boy, 1girl, ahoge, araragi koyomi, black hair, blonde hair, from behind, indian style, letterboxed, long hair, oshino shinobu, shadow, short hair, sitting, skirt, topless male","brother and sister, shorts, white skirt","back, blue male underwear, blush stickers, chair, crossed arms, desk, dimples of venus, dress, facing away, flipped hair, footwear bow, full body, indoors, knees together feet apart, looking at another, male underwear, on chair, pink skirt, sandals, school desk, shade, sitting backwards, sleeveless, sundress, topless, tree, white dress, white footwear, wide shot, yellow eyes",3,30,0.8421052631578947,0.34782608695652173,0.49230769230769234
BuyFfGW,"1boy, 1girl, ahoge, araragi koyomi, arms at sides, black hair, black pants, bloom, blue jacket, blue shirt, brown jacket, building, cat ears, cat girl, day, from side, full body, hand between legs, hood, jacket, kneeling, looking at another, looking to the side, on one knee, outdoors, oversized animal, pants, railroad tracks, road sign, shoes, short hair, sitting, torn clothes, wariza, white hair, white tiger","1boy, 1girl, ahoge, animal, animal ears, black pants, blue dress, blue jacket, building, day, dress, fox ears, grey hair, hood, jacket, kneeling, long sleeves, on one knee, outdoors, oversized animal, pants, railroad tracks, road sign, shirt, shoes, short hair, tail, train station, white hair","1boy, 1girl, ahoge, black pants, blue jacket, building, day, hood, jacket, kneeling, on one knee, outdoors, oversized animal, pants, railroad tracks, road sign, shoes, short hair, white hair","animal, animal ears, blue dress, dress, fox ears, grey hair, long sleeves, shirt, tail, train station","araragi koyomi, arms at sides, black hair, bloom, blue shirt, brown jacket, cat ears, cat girl, from side, full body, hand between legs, looking at another, looking to the side, sitting, torn clothes, wariza, white tiger",10,17,0.6551724137931034,0.5277777777777778,0.5846153846153845
0SxBXLP,"1girl, barefoot, blonde hair, bloom, crack, dark, dot nose, dress, expressionless, flipped hair, full body, goggles, goggles on headwear, hair flaps, helmet, hugging own legs, indoors, knees up, long hair, looking to the side, oshino shinobu, pink dress, school desk, sitting, solo, strap slip, window, yellow eyes","1girl, barefoot, blonde hair, closed eyes, dress, goggles, goggles on head, goggles on headwear, helmet, indoors, long hair, oshino shinobu, pink dress, sitting, solo","1girl, barefoot, blonde hair, dress, goggles, goggles on headwear, helmet, indoors, long hair, oshino shinobu, pink dress, sitting, solo","closed eyes, goggles on head","bloom, crack, dark, dot nose, expressionless, flipped hair, full body, hair flaps, hugging own legs, knees up, looking to the side, school desk, strap slip, window, yellow eyes",2,15,0.8666666666666667,0.4642857142857143,0.6046511627906976
aPnYnbG,"blue sky, building, cloud, day, no humans, outdoors, power lines, scenery, tree, utility pole, window","blue sky, building, bush, city, cloud, cloudy sky, day, fence, grass, house, lamppost, no humans, outdoors, power lines, road, scenery, sidewalk, sky, street, town, tree, utility pole, window","blue sky, building, cloud, day, no humans, outdoors, power lines, scenery, tree, utility pole, window","bush, city, cloudy sky, fence, grass, house, lamppost, road, sidewalk, sky, street, town",,12,0,0.4782608695652174,1.0,0.6470588235294118
amlEGsC,"animal, building, cat, dark, from below, house, letterboxed, night, night sky, no humans, outdoors, power lines, scenery, sky","animal, building, cat, cloud, contrail, dark, dog, fence, grey sky, house, letterboxed, night, night sky, no humans, on roof, outdoors, rooftop, scenery, shooting star, sky, solo, wide shot, wooden fence","animal, building, cat, dark, house, letterboxed, night, night sky, no humans, outdoors, scenery, sky","cloud, contrail, dog, fence, grey sky, on roof, rooftop, shooting star, solo, wide shot, wooden fence","from below, power lines",11,2,0.5217391304347826,0.8571428571428571,0.6486486486486486
test3,"6+girls, :<, :d, androgynous, black eyes, black hair, blonde hair, blue dress, blue eyes, blue hair, blunt bangs, blush, blush stickers, bow, bowtie, brown eyes, brown hair, brown shirt, capelet, child, closed mouth, collarbone, collared shirt, dark skin, dark-skinned female, demon girl, dot nose, dress, expressionless, fang, green eyes, grey shirt, hair between eyes, hair bow, hime cut, hood, hood up, light blush, long hair, looking at viewer, multiple girls, no mouth, no nose, open mouth, parted bangs, pinafore dress, pointy ears, profile, red eyes, ribbon, ringed eyes, shiny skin, short hair, slit pupils, smile, thick eyebrows, white hair, white shirt, yellow eyes","6+girls, :d, black eyes, black hair, blonde hair, blue eyes, blue hair, blunt bangs, blush stickers, bow, brown eyes, brown hair, dark skin, dark-skinned female, dress, expressionless, fang, green eyes, long hair, looking at viewer, multiple girls, open mouth, pointy ears, red eyes, ringed eyes, school uniform, short hair, slit pupils, smile, style parody, thick eyebrows, vampire, white hair, yellow eyes","6+girls, :d, black eyes, black hair, blonde hair, blue eyes, blue hair, blunt bangs, blush stickers, bow, brown eyes, brown hair, dark skin, dark-skinned female, dress, expressionless, fang, green eyes, long hair, looking at viewer, multiple girls, open mouth, pointy ears, red eyes, ringed eyes, short hair, slit pupils, smile, thick eyebrows, white hair, yellow eyes","school uniform, style parody, vampire",":<, androgynous, blue dress, blush, bowtie, brown shirt, capelet, child, closed mouth, collarbone, collared shirt, demon girl, dot nose, grey shirt, hair between eyes, hair bow, hime cut, hood, hood up, light blush, no mouth, no nose, parted bangs, pinafore dress, profile, ribbon, shiny skin, white shirt",3,28,0.9117647058823529,0.5254237288135594,0.6666666666666667
frvxt83,"1girl, arms at sides, bare arms, bare legs, bare shoulders, blonde hair, blush stickers, bush, chain, cowboy shot, flipped hair, from side, long hair, oshino shinobu, pink skirt, pointy ears, profile, red bow, sleeveless, solo, tree, white dress, yellow eyes","1girl, bare shoulders, blonde hair, blush stickers, bush, chain, dress, flat chest, from side, long hair, oshino shinobu, outdoors, pointy ears, profile, red eyes, solo, standing, sundress, tree, white dress, yellow eyes","1girl, bare shoulders, blonde hair, blush stickers, bush, chain, from side, long hair, oshino shinobu, pointy ears, profile, solo, tree, white dress, yellow eyes","dress, flat chest, outdoors, red eyes, standing, sundress","arms at sides, bare arms, bare legs, cowboy shot, flipped hair, pink skirt, red bow, sleeveless",6,8,0.7142857142857143,0.6521739130434783,0.6818181818181819
test2,"1girl, bandaid, bandaid on knee, bandaid on leg, bangle, black headwear, blonde hair, blue background, blush, blush stickers, bracelet, buttons, closed mouth, coat, coat on shoulders, collarbone, contrapposto, crossed arms, fang, fang out, flat chest, flipped hair, frown, gradient background, hat, holding, jewelry, jolly roger, katana, legs apart, long hair, looking to the side, ootachi, open clothes, oshino shinobu, peaked cap, petite, pinky out, pirate hat, planted, planted sword, pointy ears, shiny skin, shirt, simple background, skull and crossbones, solo, standing, swept bangs, sword, tank top, thighs, uniform, v-shaped eyebrows, very long hair, weapon, white tank top, yellow eyes","1girl, bandaid, bandaid on knee, bandaid on leg, bangle, black headwear, blonde hair, blue background, blush stickers, bracelet, closed mouth, coat, collarbone, contrapposto, crossed arms, dress, fang, fang out, feet out of frame, flat chest, frown, hat, jacket, jacket on shoulders, jewelry, jolly roger, katana, legs apart, long hair, looking at viewer, military jacket, oshino shinobu, peaked cap, pirate hat, planted, planted sword, pointy ears, shiny skin, short dress, simple background, skin fang, skull and crossbones, solo, standing, sword, very long hair, weapon, white dress, yellow eyes","1girl, bandaid, bandaid on knee, bandaid on leg, bangle, black headwear, blonde hair, blue background, blush stickers, bracelet, closed mouth, coat, collarbone, contrapposto, crossed arms, fang, fang out, flat chest, frown, hat, jewelry, jolly roger, katana, legs apart, long hair, oshino shinobu, peaked cap, pirate hat, planted, planted sword, pointy ears, shiny skin, simple background, skull and crossbones, solo, standing, sword, very long hair, weapon, yellow eyes","dress, feet out of frame, jacket, jacket on shoulders, looking at viewer, military jacket, short dress, skin fang, white dress","blush, buttons, coat on shoulders, flipped hair, gradient background, holding, looking to the side, ootachi, open clothes, petite, pinky out, shirt, swept bangs, tank top, thighs, uniform, v-shaped eyebrows, white tank top",9,18,0.8163265306122449,0.6896551724137931,0.7476635514018692
